event_date,vault_id,failures_count,_4,_5,_6
2023-04-10,Z305DHMB,ST4000DM000,0,1019,63051.0
2023-04-10,Z305DV4N,ST4000DM000,0,1019,63067.0
2023-04-10,Z305G06P,ST4000DM000,0,1020,62543.0
2023-04-10,Z305GRNS,ST4000DM000,0,1022,62797.0
2023-04-10,Z305K23B,ST4000DM000,0,1021,62450.0
2023-04-10,Z305L4AC,ST4000DM000,0,1023,61964.0
2023-04-10,Z305L4JS,ST4000DM000,0,1021,62441.0
2023-04-10,Z305NQXH,ST4000DM000,0,1023,61978.0
2023-04-10,Z4D057V4,ST6000DX000,0,1002,70366.0
2023-04-10,Z4D0C9AE,ST6000DX000,0,1002,70347.0
2023-04-10,ZA10BW9W,ST8000DM002,0,1028,60269.0
2023-04-10,ZA10TB66,ST8000DM002,0,1028,60294.0
2023-04-10,ZA10Y8V8,ST8000DM002,0,1028,60266.0
2023-04-10,ZA11HYL0,ST8000DM002,0,1038,54488.0
2023-04-10,ZA11JA59,ST8000DM002,0,1037,41350.0
2023-04-10,ZA11R4YF,ST8000DM002,0,1034,59485.0
2023-04-10,ZA11V5V0,ST8000DM002,0,1029,59610.0
2023-04-10,ZA11ZNYV,ST8000DM002,0,1033,58865.0
2023-04-10,ZA128KE9,ST8000NM0055,0,1054,8732.0
2023-04-10,ZA12KZ0F,ST8000DM002,0,1033,58861.0
2023-04-10,ZA12KZ4C,ST8000DM002,0,1033,58861.0
2023-04-10,ZA12PTGP,ST8000DM002,0,1032,57174.0
2023-04-10,ZA12PTL8,ST8000DM002,0,1035,58645.0
2023-04-10,ZA12Q61Y,ST8000DM002,0,1035,58651.0
2023-04-10,ZA12RB46,ST8000DM002,0,1032,57191.0
2023-04-10,ZA12RB7H,ST8000DM002,0,1035,58658.0
2023-04-10,ZA12X3MX,ST8000NM0055,0,1037,55761.0
2023-04-10,ZA139RYB,ST8000NM0055,0,1042,51307.0
2023-04-10,ZA13GGZL,ST8000NM0055,0,1042,51309.0
2023-04-10,ZA13QZMT,ST8000DM002,0,1037,55750.0
2023-04-10,ZA13RJDD,ST8000NM0055,0,1042,50740.0
2023-04-10,ZA13TEM1,ST8000DM002,0,1036,56506.0
2023-04-10,ZA13YNZ7,ST8000DM002,0,1038,54508.0
2023-04-10,ZA13ZL2X,ST8000DM002,0,1038,54524.0
2023-04-10,ZA1438LX,ST8000DM002,0,1036,56502.0
2023-04-10,ZA143CR8,ST8000DM002,0,1036,56494.0
2023-04-10,ZA143CWF,ST8000DM002,0,1036,56499.0
2023-04-10,ZA145HFM,ST8000NM0055,0,1040,53061.0
2023-04-10,ZA14BWTZ,ST8000NM0055,0,1040,53060.0
2023-04-10,ZA14DLY6,ST8000NM0055,0,1040,53058.0
2023-04-10,ZA14EBAC,ST8000NM0055,0,1040,53063.0
2023-04-10,ZA14MAFE,ST8000NM0055,0,1055,49189.0
2023-04-10,ZA165PE9,ST8000NM0055,0,1039,53326.0
2023-04-10,ZA16DRJF,ST8000NM0055,0,1039,53332.0
2023-04-10,ZA16DS1R,ST8000NM0055,0,1039,53327.0
2023-04-10,ZA16DSXJ,ST8000NM0055,0,1039,53312.0
2023-04-10,ZA16DWR8,ST8000NM0055,0,1039,53328.0
2023-04-10,ZA16EEEB,ST8000NM0055,0,1040,53052.0
2023-04-10,ZA16EERC,ST8000NM0055,0,1039,53322.0
2023-04-10,ZA16EEZ0,ST8000NM0055,0,1039,53331.0
2023-04-10,ZA16X4MJ,ST8000NM0055,0,1053,50470.0
2023-04-10,ZA171BVX,ST8000NM0055,0,1053,50476.0
2023-04-10,ZA171P5F,ST8000NM0055,0,1053,50475.0
2023-04-10,ZA171TG3,ST8000NM0055,0,1041,52081.0
2023-04-10,ZA171TYW,ST8000NM0055,0,1041,52174.0
2023-04-10,ZA171VRV,ST8000NM0055,0,1041,52117.0
2023-04-10,ZA173SXC,ST8000NM0055,0,1053,50464.0
2023-04-10,ZA17528A,ST8000NM0055,0,1053,50460.0
2023-04-10,ZA1805Q3,ST8000NM0055,0,1090,49661.0
2023-04-10,ZA1806E7,ST8000NM0055,0,1055,49159.0
2023-04-10,ZA180AQ5,ST8000NM0055,0,1091,49366.0
2023-04-10,ZA180QNV,ST8000NM0055,0,1091,49368.0
2023-04-10,ZA180YQJ,ST8000NM0055,0,1091,49356.0
2023-04-10,ZA180Z09,ST8000NM0055,0,1055,49181.0
2023-04-10,ZA18100Z,ST8000NM0055,0,1090,49628.0
2023-04-10,ZA18105E,ST8000NM0055,0,1090,49666.0
2023-04-10,ZA1810CV,ST8000NM0055,0,1090,49674.0
2023-04-10,ZA1811F3,ST8000NM0055,0,1044,50340.0
2023-04-10,ZA1818E7,ST8000NM0055,0,1054,49844.0
2023-04-10,ZA181A6B,ST8000NM0055,0,1091,49351.0
2023-04-10,ZA18934A,ST8000NM0055,0,1091,49370.0
2023-04-10,ZA189JPB,ST8000NM0055,0,1091,49357.0
2023-04-10,ZA189W3L,ST8000NM0055,0,1092,49086.0
2023-04-10,ZA189WJ8,ST8000NM0055,0,1092,49079.0
2023-04-10,ZA189XP3,ST8000NM0055,0,1091,49357.0
2023-04-10,ZA1EJ30E,ST8000NM0055,0,1055,20757.0
2023-04-10,ZA212CND,ST10000NM0086,0,1093,48732.0
2023-04-10,ZA213M6J,ST10000NM0086,0,1093,48717.0
2023-04-10,ZA216HTP,ST10000NM0086,0,1093,48731.0
2023-04-10,ZA217XFS,ST10000NM0086,0,1093,48718.0
2023-04-10,ZA21ADZR,ST10000NM0086,0,1093,48716.0
2023-04-10,ZA21DH8Z,ST10000NM0086,0,1093,48721.0
2023-04-10,ZA21E0LF,ST10000NM0086,0,1093,48727.0
2023-04-10,ZA21E18E,ST10000NM0086,0,1093,48723.0
2023-04-10,ZHZ3971A,ST14000NM0138,0,1156,20153.0
2023-04-10,ZHZ3MA7D,ST14000NM0138,0,1156,20239.0
2023-04-10,ZHZ3NFDG,ST12000NM0008,0,1130,30691.0
2023-04-10,ZHZ3NSYV,ST12000NM0008,0,1131,30262.0
2023-04-10,ZHZ3PDWR,ST12000NM0008,0,1131,30259.0
2023-04-10,ZHZ3QY1Y,ST12000NM0008,0,1132,30305.0
2023-04-10,ZHZ3R82G,ST12000NM0008,0,1131,30268.0
2023-04-10,ZHZ3SMWE,ST12000NM0008,0,1136,9098.0
2023-04-10,ZHZ3X1RV,ST12000NM0008,0,1131,30262.0
2023-04-10,ZHZ3X33B,ST12000NM0008,0,1130,30697.0
2023-04-10,ZHZ44QBY,ST12000NM0008,0,1131,30267.0
